month,segment,account,revenue_usd
2026-01,Enterprise,Acme,23000
2026-01,Enterprise,Globex,12000
2026-01,Enterprise,Initech,10000
2026-01,Mid-Market,Meridian,12000
2026-01,Mid-Market,MidCorp,14000
2026-01,SMB,Bluefin,7000
2026-01,SMB,Cedar,6000
2026-01,SMB,Dune,4500
2026-02,Enterprise,Acme,23500
2026-02,Enterprise,Globex,12500
2026-02,Enterprise,Initech,10500
2026-02,Mid-Market,Meridian,12500
2026-02,Mid-Market,MidCorp,15000
2026-02,SMB,Bluefin,7200
2026-02,SMB,Cedar,6300
2026-02,SMB,Dune,4700
2026-03,Enterprise,Acme,24000
2026-03,Enterprise,Globex,13000
2026-03,Enterprise,Initech,11000
2026-03,Mid-Market,Meridian,13500
2026-03,Mid-Market,MidCorp,15500
2026-03,SMB,Bluefin,7500
2026-03,SMB,Cedar,6700
2026-03,SMB,Dune,4800
2026-04,Enterprise,Acme,24000
2026-04,Enterprise,Globex,14000
2026-04,Enterprise,Initech,12000
2026-04,Mid-Market,Meridian,14000
2026-04,Mid-Market,MidCorp,16000
2026-04,SMB,Bluefin,8000
2026-04,SMB,Cedar,7000
2026-04,SMB,Dune,5000
2026-05,Enterprise,Acme,6000
2026-05,Enterprise,Globex,13000
2026-05,Enterprise,Initech,11000
2026-05,Mid-Market,Meridian,15000
2026-05,Mid-Market,MidCorp,17000
2026-05,SMB,Bluefin,8000
2026-05,SMB,Cedar,7000
2026-05,SMB,Dune,5000
